"Timestamp","What is your age?","Gender","Place of origin","Have you ever taken a tour of Baguio before?","What type of transportation did you use to arrive in Baguio City?","In which month did you have your last visit/outing in Baguio?","How many days did this visit/outing last?","Who accompanied you during these visits? ","How did you travel around the city during your visit?","If you used public transportation, which did you use the most?","Which tourist spot/s have you visited in your last trip/outing to Baguio City?","If you were to recommend to a friend three tourist spots in Baguio City, what would they be?","How important is location when choosing a tourist spot to visit?","How important is accessibility (e.g. ease of getting to the spot) when choosing a tourist spot to visit?","How important is cost (e.g. entrance fees, transportation, etc.) when choosing a tourist spot to visit?","How important is safety when choosing a tourist spot to visit?","How important is cultural significance when choosing a tourist spot to visit?","Have any of the following factors caused you to not visit a tourist spot in Baguio City? (select all that apply)"
"2023/04/08 1:50:57 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Bus","March","1 week or 7 days","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Diplomat Hotel;Baguio Cathedral;Good Shepherd Convent","BenCab Museum;Mirador Hill;Botanical Garden","5","5","4","5","5","Location;Accessibility"
"2023/04/08 1:51:09 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Bus","March","4","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Baguio Cathedral;SM Baguio;Baguio Night Market","Mines View;Botanical Garden;Baguio Night Market","4","4","3","5","4","Location;Lack of interest"
"2023/04/08 1:52:08 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Bus","May","4","Family and /or relatives","Public Transportation","Taxi","Burnham Park;Mines View;Wright Park;The Mansion;Sky Ranch Baguio;SM Baguio;Baguio Night Market","The Mansion;Sky Ranch Baguio;Baguio Night Market","5","5","5","5","4","Cost"
"2023/04/08 1:53:43 PM GMT+8","35 to 44 years old","Female","CAR (Cordillera Administrative Region)","Yes","None. I live here.","April","5","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Tam-Awan Village;Mirador Hill;Eco park;Diplomat Hotel;Bell House;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Wright Park;The Mansion;Baguio Cathedral","2","3","4","5","5","Lack of interest"
"2023/04/08 1:54:53 PM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Van","March","1","Friends or colleagues","Walking","Jeepney","Burnham Park;Mines View;The Mansion;Camp John Hay;Sky Ranch Baguio;Baguio Cathedral;SM Baguio;Baguio Night Market","Wright Park;The Mansion;Camp John Hay","5","5","4","5","4","Cost"
"2023/04/08 2:02:20 PM GMT+8","45 to 54 years old","Male","Region I (Ilocos Region)","Yes","None. I live here.","April","5","No one","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Eco park;Igorot Stone Kingdom;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Good Shepherd Convent","Wright Park;Diplomat Hotel;Botanical Garden","3","3","2","5","3","Safety;Lack of interest"
"2023/04/08 2:03:47 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","None. I live here.","April","5","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;Baguio Cathedral;Botanical Garden;SM Baguio","Mines View;Wright Park;SM Baguio","2","2","1","5","4","Safety;Lack of interest"
"2023/04/08 2:05:22 PM GMT+8","18 to 24 years old","Female","Region I (Ilocos Region)","Yes","Van","April","1","Family and /or relatives","Private Vehicle","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Igorot Stone Kingdom;Sky Ranch Baguio;SM Baguio","BenCab Museum;SM Baguio;Baguio Night Market","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/08 2:07:29 PM GMT+8","18 to 24 years old","Male","Region III (Central Luzon)","Yes","Private vehicle","March","5","Family and /or relatives","Private Vehicle","","Burnham Park;Baguio Cathedral;SM Baguio;Baguio Night Market","Burnham Park;SM Baguio;Baguio Night Market","3","3","3","3","3","Accessibility;Cost"
"2023/04/08 2:20:35 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Van","April","2","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Yellow Trail;Sky Ranch Baguio;SM Baguio;Baguio Night Market","BenCab Museum;Tam-Awan Village;Baguio Night Market","5","5","5","5","5","Safety;Lack of interest"
